Author,Review URL,Description,Rating
Jaswanth,https://www.zoma.to/NqzGZMX,Quality had reduced drastically .. biryani is not worth for its price  and pieces are dry ...ordered leg roast no taste and cold dish server ..prawns biryani..masala is more compared to prawns ( can name it as masala biryani instead) paneer biryani same situation oil spilled everywhere ..and biryani rice pathetic cold served rice one hav to search for basmathi rice ..Meghana had to tell which rice it is .. finally 0 rating..but no option to select that.! <br/>Think twice to order from here ,1.0
Prerna Naik,https://www.zoma.to/kMdNOaK,The restaurant accepts the orders .. half the time delivers it late .. the other half time it cancels by itself ... pathetic service and the food is not that great either .. just a ton of chilli powder added to everything without any depth to the aroma or flavour of the food !! ,1.0
Sumanti Saini,https://www.zoma.to/OdmLwYa,"Absolutely love the food over there, delivery is best, dining is even better, they should provide their own not via zomato, should come on Amazon food.",5.0
Guru,https://www.zoma.to/ddXrOBO,"Good food<br/>Fast service<br/>Glass bottle for soft drinks<br/>Sometimes serves hot rice and cold chicken in biryani, but ask for fresh biryani <br/>Easy menu",4.0
Anvesh,https://www.zoma.to/wAPBPRG,,5.0
Rajeshmadhipatla,https://www.zoma.to/geOPZoy,,1.0
Aravindhan Anandhavel,https://www.zoma.to/bavXXRO,Vera level briyani .just wow…................................................................😋😋😋😋,5.0
Srivishnu,https://www.zoma.to/RqzeLLz,,5.0
Vinni,https://www.zoma.to/GAgkMDa,Awesome aloo dum biryani .. only from this Marathahalli branch. Must try !<br/>Manchurian taste is great too! Would recommend to everyone !!,5.0
Parul Ojha,https://www.zoma.to/PKnlPyw,Absolutely  love love Meghan biryani. Without a doubt best biryani in Bangalore ❤ even for vegetarians they offer same taste. Super happy to have meghana biryani ,5.0
Anoohya,https://www.zoma.to/qzrPEgn,,5.0
Chirasri Sarkar,https://www.zoma.to/MaPRPvr,Good food as always. During the lockdown found Meghana as best to order food from. No compromise on quality and quantity. Best boneless chicken biryani and chicken 555. ,5.0
Rekha Chowdary,https://www.zoma.to/LmaGleY,Worst experience for the first time. Was soo happy as my order came before expected time. But did not realise the food is cold. This packing is morning’s or afternoon’s and the worst part is the food got spoiled.<br/><br/>Meghana we place order by trust on your brand name. Kindly respect customers.<br/><br/>Couldn’t write review at delivery option so writing here.<br/>,1.0
Mayanka Sharan,https://www.zoma.to/ZPDZMXk,The boneless chicken biryani is classic.. never ever    can go bad..this is best ..must try for everyone..,5.0
Janki Patel,https://www.zoma.to/EzPGrQB,,5.0
Chiru Boddu,https://www.zoma.to/mDKYrQy,,1.0
